id,company_id,name,tool_type,cost,notes,integrations, url,last_reviewed_date,company_id,created_at
1,1,X,Social Media,,,,,,,
2,2,Instagram,Social Media,,,,,,,
3,3,LinkedIn,Social Media,,,,,,,
4,2,Facebook,Social Media,,,,,,,
5,5,Bitwarden,Password Manager,$0,,,,,,
6,6,DonorSearch,Research Platform,,,,,,,
7,7,AlumniFinder,Research Platform,,,"Ellucian Salesforce RE NXT (Blackbaud)",,,,
8,8,Ellucian,,,,,,,,
9,9,Salesforce,CRM,,"Ascend is one popular solution but there are others built on top of the Salesforce platform as well",,,,,
10,10,Raiser's Edge NXT (Blackbaud),,,,,,,,
11,10,ResearchPoint (Blackbaud),,,,,,,,
12,12,Kaleidoscope,,,,,,,,
13,13,Almaconnect,News Alerts,,,,,,,
14,14,MergentOnline,,,Replacing the old Mergent Intellect service but does the same thing. Better for public companies.,,,,,
15,3,SalesNavigator,,,,,,,,
16,15,Insightful,News Alerts,,,RE,,,,
17,16,Wallbrook,Due Dilligence,,,,,,,
18,17,Cotality,Data Broker,,"Potentially helpful to understand their data market places and how they sit within the larger landcscape of real estate data brokers however their intended product audience are other companies with cloud infastructure to process real estate data or build apps not direct to consumer. Useful to understand them if one were to attempt to build a competitor to something like iWave and you need to pay for data.",,cotality.com,2025-11-26,,
19,18,Jira,,,,,,,,
20,19,Asana,,,,,,,,
21,18,Trello,,,,,,,,
22,20,Zendesk,,,,,,,,
23,21,ClickUp,,,,,,,,
24,22,LexisNexis,,,,,,,,
25,3,PowerBI,,,,,,,,
26,9,Tableau,,,,,,,,
27,23,Pitchbook,,,,,,,,
28,3,Excel,,,,,,,,
29,24,Google Alerts,News Alerts,$0,,,,,,
30,25,Talkwalker,News Alerts,$0,"Hootsuite bought talkwalker in 2024, branding it as ""Hootsuite Listening powered by Talkwalker""",,,,,
31,26,Obsidian,Research Notebook,$0,"Useful as a research notebook because of it's features security (offline mode) and searchability within and between notes. The prospect research toolkit will eventually build a plug for Obsidian that is inteded to be helpful for taking notes while researching.",,https://obsidian.md/,2025-11-26,,
32,27,Kindsight,,$4150,"$4150 for 1 license, 1500 screens 750 live profiles. 3 users starts at $5350",,,2025-11-17,,
33,129,BVResources.com,Company Info,$1750,"Has some free items and provides interesting context for market valuation as a field. Business Valuation is a tricky subject in prospect research, because the value of a business does not necessarily reflect any specific wealth in associated individuals - but business valuation research is still valuable for a number of other use-cases beyond capacity and I need to flesh them out on this website. Small, privately held company.",,https://www.bvresources.com/,2025-11-26,,
34,28,Foundation Directory,Non-profit Info,$1599,"Many university libraries also have enterprise accounts and other large organizations can get a ""special rate"" but I haven't figured out what that is yet.",,,,,
35,29,EveryAction,,,"Bonterra also has a Fundraising and Engagement suite, EveryAction was acquired by Bonterra as part of a broader consolidaiton of nonprofit tech tools led by Bonterra and its investers",,,,,
36,30,Humanitru,,,,,,,,
37,31,AIdentified,,,,,,,,
38,32,ContactOut,Contact Info,,Chrome extension,,,,,
39,33,White pages,,,"Good for phone numbers can be cross-checked with lexis or iWave, people also use usphonebook.com",,,,,
40,34,Hunter.io,,,"or emails (or competitors Snov.io or ZeroBounce or Bouncer) but hunter.io has a good free plan 25 searches a month, and 50 email vertifications which is better than rocket reach",,,,,
41,35,Code-fi,Capacity Screening,,"International mentioned on PRSPCT-L",,,2025-10-27,,
42,36,Altrata,,,,,,,,
43,37,Xapien,Due Dilligence,"Due dilligence, Profile generation",,,,,,
44,109,Factiva,,,"Factiva is a business information and research platform that aggregates global news company data and market intelligence from thousands of sources. Corporate subsidiary family trees executive lists and stock information (with links to paperwork) recent news querying and you can follow their source update page to see exactly which sources are being used discontinued etc. Good for big companies where the research question needs to dive in and understand subsidiaries or the overarching nature of the business",,,2025-11-10,,
45,39,FactSet Research Systems,Data Broker,,,,,2025-11-10,,
46,,Mergent Intellect & Mergent Online,Company Info,,"Extensive business info but Mergent Intellect arguably has one of the best executive searches letting you export files with hundreds of executives including their company phone number",,,2025-11-10,,
47,23,PitchBook,Company Info,,"PitchBook allows you to search private equity and investors venture capital deals, and information on mergers and acquisitions. Using real time data their emerging spaces feature discloses upcoming investor trends and the market map feature allows you to map out existing or emerging markets",,,2025-11-10,,
48,40,PrivCo,Company Info,,"PrivCo is a source for business and financial data on non-publicly traded corporations including family owned private equity owned venture backed and international unlisted companies.",,,2025-11-10,,
49,,ProspectAI,,,,,,,,
50,,ResearchRiley,,,,,,,,
51,,Assay,Capacity Screening,,"from website: https://geisgetsresults.com/assay/ Assayâ€™s algorithm evaluates and weighs Key Performance Indicators (KPIs). Assay provides a propensity score which helps you target the right donors and select appropriate tactics for donor development.",,,,,
52,,Radar,Due Dilligence,,"Probably overkill for due dilligence however it has an alert system that could be useful if reputational hazards are a high priority. It seems intended more for law firms hoping to find new clients and keep track of ongoing cindustry info and it's unclear if anyone in fundraising uses Radar for this purpose. My guess is it's too expensive for a more rare use-case and other tools (like the legal side of Lexis) maybe do a better job or are more familiar. A free trial is available though!",,https://www.exploreradar.law.com/,2025-11-26,,
53,,ScraperApi,Homemade Datasets,,"Good info on web scraping which is legal for public information as long as you abide by terms of service. Scraper api is an example of a paid resource for this but there are other options as well and almost all have free trials.",,https://www.scraperapi.com/,2025-11-26,,
54,46,Octoparse,Homemade Datasets,,,,,,,
55,,Loopnet,Real Estate,,"Some free options. The usecase for this one is a little odd: if you want to check on the status of a company understanding if the commercial space is up for sale might offer some clues that are otherwise invisible at other sources. ",,,,,
56,,DonorPerfect,,,,,,,,
57,49,DonorAtlas,,,,,,,,
58,50,WealthEngine,,,,,,,,
59,51,Windfall,,,,,,,,
61,,DatabaseUSA,Data Broker,,,,,,,
62,53,Dun & Bradstreet ,Data Broker,,,,,,,
63,,Edgar (SEC),Data Broker,,,,,,,
64,,Larkspur,,,,,,,,
65,,Monday.com,,,,,,,,
66,,Pipl.com,,,,,,,,
67,,PowerQuery,Data Analytics,,,,,,,
68,,Reclaim the Records,Data Broker,,,,,,,
69,,RelSci,,,,,,,,
70,131,SalesNavigator,,,,,,,,
71,,Verigift,,,,,,,,
72,,Wealth-X,,,,,,,,
73,,ZoomInfo,,,,,,,,
74,,TheOrg,,,,,,,,
75,,LittleSis,Due Dilligence,,,,https://littlesis.org/database,2025-12-5,,
76,,Maltego,,,,,,,,
77,,OpenCorporates,,,,,,,,
78,,CorpWatch API,,,,,,,,
79,,BuiltWith,,,,,,,,
80,,Whois/ICANN Lookup,,,,,,,,
81,,Wayback Machine,,,,,,,,
82,,ProQuest,,,,,,,,
83,,DataAxle Reference Solutions,,,,,,,,
84,,Gephi,,,,,,,,
85,,Google Alerts,,,,,,,,
86,,TikTok,Social Media,,,,,,,
87,,Crunchbase,Company Info,,,,,,,
88,,Lucidchart,,,,,,,,
89,,OpenSecrets,,,,,,,,
90,,Statista,,,,,,,,
91,130,ValueLine,Company Info,,Helpful to understand industry market movers or big public companies. The most relevant datapoint for prospect research is the company financial health letter grade the ValueLine analysts provide in the bottom right corner of the ValueLine Investment Survey pdf - could be useful in an overview (e.g. A- financial health) or as a bullet point for supplemental descriptions of a company. Otherwise quite limited for prospect research. ,,,,,
92,,TheOfficialBoard,Executive Info,,"Surprisingly robust free options and pretty cheap paid ones honestly seems like a hidden gem. Limits its reach to public companies. From the probably outdated Wikipedia page: The Official Board is a France-based online contact database. The database maintains up-to-date corporate organizational and data charts for all the world's private and public companies exceeding $100 million in revenue which includes over 50,000 companies. The data is updated by industry experts and members of the site and is verified by each company. It is used to research organizational structures and find contact information for corporate executives.

The Official Board was founded by Amazon and Apple Inc. executive Thomas Lot in 2009. ","The website says there are integrations, but I didn't look too deep",https://www.theofficialboard.com/user/offre,2026-01-09,,
93,133,Salutary Data,Data Broker,,"Supplies contact information for tools like Nexis Uni. Details from Pitchbook: Provider of business data services intended for businesses to connect. The company offers data including postal codes phone numbers email name title and company details. Founded in 2015. I have accessed their reports via Nexis Uni and their ""biographies"" include compensation information as well as job titles and LinkedIn URLs. Nexis lets you download the Salutary Data reports as RTF or DOCX or PDF bundled or as separate files. Unsure of how they source their information but those two data points: compensation and LinkedIn URL are interesting.",,,,,
