id, name, company_type, website,
1,X Corp,,https://x.com,
2,Meta Platforms,,https://about.meta.com,
3,Microsoft,,https://www.microsoft.com,
5,Bitwarden Inc.,,https://bitwarden.com,
6,DonorSearch,,https://www.donorsearch.net,
7,AlumniFinder,,https://www.alumnifinder.com,
8,Ellucian,,https://www.ellucian.com,
9,Salesforce,,https://www.salesforce.com,
10,Blackbaud,,https://www.blackbaud.com,
12,Kaleidoscope Inc.,,https://www.kaleidoscope.com,
13,AlmaConnect,,https://www.almaconnect.com,
14,MergentOnline,,,
15,Insightful Inc.,,https://www.insightful.io,
16,Wallbrook,,https://wallbrook.com,
17,Cotality,,https://cotality.com,
18,Atlassian,,https://www.atlassian.com,
19,Asana Inc.,,https://asana.com,
20,Zendesk,,https://www.zendesk.com,
21,ClickUp,,https://clickup.com,
22,RELX,,https://www.lexisnexis.com,
9,Salesforce,,https://www.tableau.com,
23,Morningstar,,https://pitchbook.com,
24,Google,,https://www.google.com,
25,Hootsuite,,https://www.talkwalker.com,
26,Obsidian Labs,,https://obsidian.md,
27,Kindsight,,https://www.kindsight.io,
28,Candid,,https://candid.org,
29,Bonterra,,https://www.bonterratech.com,
30,Humantru,,https://humantru.co,
31,Aidentified,,https://www.aidentified.com,
32,ContactOut,,https://contactout.com,
33,Whitepages,,https://www.whitepages.com,
34,Hunter,,https://hunter.io,
35,Pyro Solutions,,https://www.pyrosolutions.com,
36,Altrata,,https://www.altrata.com,
37,Xapien,,https://www.xapien.com,
39,FactSet,,https://www.factset.com,
40,PrivCo,,https://www.privco.com,
41,Dataro,,https://www.dataro.io,
42,GiveCampus,,https://www.givecampus.com,
43,Geis Group,,https://geisgetsresults.com,
44,ALM,,https://www.alm.com,
45,ScraperAPI,,https://www.scraperapi.com,
46,Octoparse,,https://www.octoparse.com,
47,CoStar Group,,https://www.costar.com,
49,DonorAtlas,,https://donoratlas.com,
50,WealthEngine,,https://www.wealthengine.com,
51,Windfall Data,,https://www.windfalldata.com,
52,Gale (Cengage),,https://www.gale.com,
53,Dun & Bradstreet,,https://www.dnb.com,
54,U.S. Securities and Exchange Commission,,https://www.sec.gov,
55,Pipl,,https://pipl.com,
56,Relationship Science,,https://www.relsci.com,
57,VeriGift,,https://www.verigift.com,
58,ZoomInfo,,https://www.zoominfo.com,
57,Public Accountability Initiative,,https://littlesis.org,
58,Maltego Technologies,,https://www.maltego.com,
59,OpenCorporates,,https://opencorporates.com,
60,CorpWatch,,https://corpwatch.org,
61,BuiltWith,,https://builtwith.com,
62,Internet Archive,,https://archive.org,
63,Clarivate,,https://www.proquest.com,
64,Data Axle,,https://www.data-axle.com,
65,Gephi Consortium,,https://gephi.org,
66,ByteDance,,https://www.bytedance.com,
67,RocketReach,,https://rocketreach.co,
68,Clearbit,,https://clearbit.com,
69,People Data Labs,,https://www.peopledatalabs.com,
70,Crunchbase,,https://www.crunchbase.com,
71,CB Insights,,https://www.cbinsights.com,
72,Owler,,https://www.owler.com,
73,Center for Responsive Politics,,https://www.opensecrets.org,
74,InfluenceMap,,https://influencemap.org,
75,ImportGenius,,https://www.importgenius.com,
76,S&P Global,,https://www.panjiva.com,
77,Sayari,,https://sayari.com,
78,NetBase Quid,,https://netbasequid.com,
79,AlphaSense,,https://www.alpha-sense.com,
80,Sentieo,,https://www.sentieo.com,
81,SimilarWeb,,https://www.similarweb.com,
82,Semrush,,https://www.semrush.com,
83,Ahrefs,,https://ahrefs.com,
84,Notion Labs,,https://www.notion.so,
85,Smartsheet Inc.,,https://www.smartsheet.com,
86,Wrike,,https://www.wrike.com,
87,Airtable,,https://airtable.com,
88,Miro,,https://miro.com,
89,Lucid Software,,https://www.lucidchart.com,
90,Qlik,,https://www.qlik.com,
91,KNIME AG,,https://www.knime.com,
92,Metabase,,https://www.metabase.com,
93,Elastic,,https://www.elastic.co,
94,HaystackID,,https://www.haystackid.com,
95,Kroll,,https://www.kroll.com,
96,Control Risks,,https://www.controlrisks.com,
99,Snowflake,,https://www.snowflake.com,
100,Fivetran,,https://www.fivetran.com,
101,Segment (Twilio),,https://segment.com,
102,Zapier,,https://zapier.com,
103,Celonis,,https://www.make.com,
104,EBSCO Information Services,,https://www.ebsco.com/products/research-databases/business-source-complete,
105,S&P Global,,https://www.spglobal.com/marketintelligence,
106,Bureau van Dijk (Moodyâ€™s),,https://www.bvdinfo.com/en-us/our-products/data/international/orbis,
107,London Stock Exchange Group,,https://www.refinitiv.com/en/products/refinitiv-workspace,
108,NewsBank,,https://www.newsbank.com/products/access-world-news,
109,Dow Jones,,https://www.dowjones.com/professional/factiva-news-database-alternatives,
110,Financial Times,,https://www.ft.com/solutions,
111,Economist Group,,https://www.eiu.com,
112,Statista GmbH,,https://www.statista.com,
113,Euromonitor International,,https://www.euromonitor.com/passport,
114,IBISWorld,,https://www.ibisworld.com,
115,Oxford Analytica,,https://www.oxan.com,
116,Haver Analytics,,https://www.haver.com,
117,United Nations,,https://comtradeplus.un.org,
118,OECD,,https://www.oecd-ilibrary.org,
119,World Bank,,https://data.worldbank.org,
120,OpenAI,,,
121,Anthropic,,,
122,Perplexity AI,,,
123,Jasper,,,
124,Writer.com,,,
125,Cohere,,,
126,AI21 Labs,,,
127,OpenSecrets,,,
128,Lucid Software,,,
129,Business Valuation Resources LLC,,,
130,ValueLine,,,
131,LinkedIn,,,
132,TheOfficialBoard,,https://www.theofficialboard.com/,
133,Salutary Data,,http://www.salutarydata.com/,