id,ToolName,Tool Description Short,ToolDescription_long,ToolCompany,LibraryInstitution,ParentTool,URL
3,X,,,X Corp,,,
4,Instagram,,,Meta Platforms,,,
5,LinkedIn,,,Microsoft,,,
6,Facebook,,,Meta Platforms,,,
7,Bitwarden,,,Bitwarden Inc.,,,
8,DonorSearch,,,,,,
9,AlumniFinder,,,,,,
10,Ellucian,,,,,,
11,Salesforce,,Ascend is one popular solution but there are others built on top of the Salesforce platform as well,,,,
12,Raiser's Edge NXT,,,Blackbaud,,,
13,ResearchPoint,,,Blackbaud,,,
14,Kaleidoscope,,,,,,
15,Almaconnect,,,,,,
16,MergentOnline,,Replacing the old Mergent Intellect service but does the same thing. Better for public companies.,MergentOnline,University of Utah,,
17,SalesNavigator,,,Microsoft,University of Utah,,
18,Insightful,,,,,,
19,Wallbrook,,,,,,
20,Cotality,,Potentially helpful to understand their data market places and how they sit within the larger landcscape of real estate data brokers however their intended product audience are other companies with cloud infastructure to process real estate data or build apps not direct to consumer. Useful to understand them if one were to attempt to build a competitor to something like iWave and you need to pay for data.,,,,
21,Jira,,,,,,
22,Asana,,,,,,
23,Trello,,,,,,
24,Zendesk,,,,,,
25,ClickUp,,,,,,
26,LexisNexis,,,,,,
27,PowerBI,,,,,,
28,Tableau,,,,,,
30,Excel,,,,,,
31,Google Alerts,,,,,,
32,Talkwalker,,"Hootsuite bought talkwalker in 2024, branding it as ""Hootsuite Listening powered by Talkwalker""",,,,
33,Obsidian,,Useful as a research notebook because of it's features security (offline mode) and searchability within and between notes. The prospect research toolkit will eventually build a plug for Obsidian that is inteded to be helpful for taking notes while researching.,,,,
34,Kindsight,,"$4150 for 1 license, 1500 screens 750 live profiles. 3 users starts at $5350",,,,
35,BVResources.com,,"Has some free items and provides interesting context for market valuation as a field. Business Valuation is a tricky subject in prospect research, because the value of a business does not necessarily reflect any specific wealth in associated individuals - but business valuation research is still valuable for a number of other use-cases beyond capacity and I need to flesh them out on this website. Small, privately held company.",,,,
36,Foundation Directory,,"Many university libraries also have enterprise accounts and other large organizations can get a ""special rate"" but I haven't figured out what that is yet.",,,,
37,EveryAction,,"Bonterra also has a Fundraising and Engagement suite, EveryAction was acquired by Bonterra as part of a broader consolidaiton of nonprofit tech tools led by Bonterra and its investers",,,,
38,Humanitru,,,,,,
39,AIdentified,,,,,,
40,ContactOut,,Chrome extension,,,,
41,White pages,,"Good for phone numbers can be cross-checked with lexis or iWave, people also use usphonebook.com",,,,
42,Hunter.io,,"or emails (or competitors Snov.io or ZeroBounce or Bouncer) but hunter.io has a good free plan 25 searches a month, and 50 email vertifications which is better than rocket reach",,,,
43,Code-fi,,International mentioned on PRSPCT-L,,,,
44,Altrata,,,,,,
45,Xapien,,,,,,
46,Factiva,,Factiva is a business information and research platform that aggregates global news company data and market intelligence from thousands of sources. Corporate subsidiary family trees executive lists and stock information (with links to paperwork) recent news querying and you can follow their source update page to see exactly which sources are being used discontinued etc. Good for big companies where the research question needs to dive in and understand subsidiaries or the overarching nature of the business,,University of Utah,,
47,FactSet Research Systems,,,,,,
48,Mergent Intellect,,Extensive business info but Mergent Intellect arguably has one of the best executive searches letting you export files with hundreds of executives including their company phone number,MergentOnline,Salt Lake Community College,,
49,PitchBook,"PitchBook is a financial data platform used by university libraries to provide detailed information on venture capital, private equity, and merger and acquisition activity across the private and public markets.","PitchBook allows you to search private equity and investors venture capital deals, and information on mergers and acquisitions. Using real time data their emerging spaces feature discloses upcoming investor trends and the market map feature allows you to map out existing or emerging markets",,University of Utah,,
50,PrivCo,,PrivCo is a source for business and financial data on non-publicly traded corporations including family owned private equity owned venture backed and international unlisted companies.,,University of Utah,,
51,ProspectAI,,,,,,
52,ResearchRiley,,,,,,
53,Assay,,from website: https://geisgetsresults.com/assay/ Assayâ€™s algorithm evaluates and weighs Key Performance Indicators (KPIs). Assay provides a propensity score which helps you target the right donors and select appropriate tactics for donor development.,,,,
54,Radar,,Probably overkill for due dilligence however it has an alert system that could be useful if reputational hazards are a high priority. It seems intended more for law firms hoping to find new clients and keep track of ongoing cindustry info and it's unclear if anyone in fundraising uses Radar for this purpose. My guess is it's too expensive for a more rare use-case and other tools (like the legal side of Lexis) maybe do a better job or are more familiar. A free trial is available though!,,,,
55,ScraperApi,,Good info on web scraping which is legal for public information as long as you abide by terms of service. Scraper api is an example of a paid resource for this but there are other options as well and almost all have free trials.,,,,
56,Octoparse,,,,,,
57,Loopnet,,Some free options. The usecase for this one is a little odd: if you want to check on the status of a company understanding if the commercial space is up for sale might offer some clues that are otherwise invisible at other sources. ,,,,
58,DonorPerfect,,,,,,
59,DonorAtlas,,,,,,
60,WealthEngine,,,,,,
61,Windfall,,,,,,
62,DatabaseUSA,,,,,,
63,Dun & Bradstreet ,,,,,,
64,Edgar (SEC),,,,,,
65,Larkspur,,,,,,
66,Monday.com,,,,,,
67,Pipl.com,,,,,,
68,PowerQuery,,,,,,
69,Reclaim the Records,,,,,,
70,RelSci,,,,,,
72,Verigift,,,,,,
73,Wealth-X,,,,,,
74,ZoomInfo,,,,,,
75,TheOrg,,,,,,
76,LittleSis,,,,,,
77,Maltego,,,,,,
78,OpenCorporates,,,,,,
79,CorpWatch API,,,,,,
80,BuiltWith,,,,,,
81,Whois/ICANN Lookup,,,,,,
82,Wayback Machine,,,,,,
83,ProQuest,"ProQuest (now a part of Clarivate) is a global information-content and technology company that provides academic libraries and researchers with access to a massive collection of digitized dissertations, historical newspapers, scholarly journals, and primary source documents.","ProQuest has dozens of databases, and institutions can choose to subscribe to specialized periodical databases or just default to the ""central"" list. The ProQuest Central database is the largest single periodical resource available, bringing together complete databases across all major subject areas, including Business, Health and Medical, Social Sciences, Education, Science and Technology, and Humanities. Notably, press release wires and international reach.",Clarivate,University of Utah,,
84,DataAxle Reference Solutions,,,,,,
85,Gephi,,,,,,
86,Google Alerts,,,,,,
87,TikTok,,,,,,
88,Crunchbase,,,,,,
89,Lucidchart,,,,,,
90,OpenSecrets,,,,,,
91,Statista,,,,,,
92,ValueLine,,Helpful to understand industry market movers or big public companies. The most relevant datapoint for prospect research is the company financial health letter grade the ValueLine analysts provide in the bottom right corner of the ValueLine Investment Survey pdf - could be useful in an overview (e.g. A- financial health) or as a bullet point for supplemental descriptions of a company. Otherwise quite limited for prospect research. ,,,,
93,TheOfficialBoard,,"Surprisingly robust free options and pretty cheap paid ones honestly seems like a hidden gem. Limits its reach to public companies. From the probably outdated Wikipedia page: The Official Board is a France-based online contact database. The database maintains up-to-date corporate organizational and data charts for all the world's private and public companies exceeding $100 million in revenue which includes over 50,000 companies. The data is updated by industry experts and members of the site and is verified by each company. It is used to research organizational structures and find contact information for corporate executives.

The Official Board was founded by Amazon and Apple Inc. executive Thomas Lot in 2009. ",,,,
94,Salutary Data,,"Supplies contact information for tools like Nexis Uni. Details from Pitchbook: Provider of business data services intended for businesses to connect. The company offers data including postal codes phone numbers email name title and company details. Founded in 2015. I have accessed their reports via Nexis Uni and their ""biographies"" include compensation information as well as job titles and LinkedIn URLs. Nexis lets you download the Salutary Data reports as RTF or DOCX or PDF bundled or as separate files. Unsure of how they source their information but those two data points: compensation and LinkedIn URL are interesting.",,,,
176,,"Nexis Uni is an affiliate database to LexisNexis and contains select databases found in Lexis, including over 15,000 news and business sources.",,,,,
100,Nexis Uni,"Nexis Uni is an affiliate database to LexisNexis and contains select databases found in Lexis, including over 15,000 news and business sources.","Essentially the same tool as LexisNexis, one of the variants. Law enforcement has their own variant, for example. Nexis Uni is the one scoped for college-level research and emphasizes the breadth of its legal sources. Unlike Nexis for Development Professionals, you cannot look up the personal info of specific people. It may be drawing from many of the same sources as ProQuest for its news articles, though how they stack up against each other has not yet been explored in this toolkit. Nexis Uni is an affiliate database to LexisNexis and contains select databases found in Lexis, including all federal and state case law, regulations, statutes and many legal journals. Nexis Uni also contains over 15,000 news and business sources.",,"Utah State University,University of Utah",LexisNexis,
101,Newspapers Source,,"Newspaper Source provides cover-to-cover full text for more than 40 national (U.S.) and international newspapers, including the *The Sunday Times*, *USA Today*, *The Washington Post*, *The Arizona Daily Star*, *The Wyoming Tribune-Eagle*, *Minneapolis Star Tribune*, and more. The database also contains a selection of full-text television & radio news transcripts from CBS News, CNN, FOX News, NPR, and others",,University of Utah,,
102,Newspapers.com,,,,University of Utah,,
103,BCC Research,,,,University of Utah,,
175,ProQuest One Business,"The comprehensive flagship platform for business articles, though many institutions still pay for individual databases that feed into this aggregator.",,Clarivate,,ProQuest,
177,ProQuest ABI/Inform Collection,,,Clarivate,University of Utah,ProQuest,
178,,,,,,ProQuest,
179,,,,,,ProQuest,
180,,,,,,ProQuest,
